"","target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"13381","ENSMUSG00000041046","Ramp3",1,1.5470323367425,0.517779407675794,0.5743903689963
"13382","ENSMUSG00000025323","Sp4",1,3.18936265080168,0.517934323259337,0.574519286688207
"13383","ENSMUSG00000028885","Smpdl3b",1,2.63147976071441,0.518311844635436,0.574895092413391
"13384","ENSMUSG00000023918","Adgrf4",3,8.96375236445463,0.518417983007657,0.574969855033298
"13385","ENSMUSG00000034216","Vps18",1,3.78912937987037,0.518541672654872,0.575064070891963
"13386","ENSMUSG00000032724","Abtb2",2,5.34691570812065,0.519470420696759,0.576051017841229
"13387","ENSMUSG00000001281","Itgb7",1,1.54238422662471,0.519640021211501,0.57619604652749
"13388","ENSMUSG00000031575","Ash2l",4,11.8351614482712,0.520124750062924,0.57669045338617
"13389","ENSMUSG00000034066","Farp2",2,5.77326029785028,0.520191530253667,0.5767214187083
"13390","ENSMUSG00000028126","Pip5k1a",4,10.7648840839054,0.520270886857397,0.576737651796219
"13391","ENSMUSG00000102805","Gm37240",1,2.42214467270457,0.520283878685205,0.576737651796219
"13392","ENSMUSG00000001482","Def8",3,8.73503926702124,0.520601644977503,0.577046805409652
"13393","ENSMUSG00000040560","Wdr7",2,6.26695959752099,0.520829891461769,0.577256694456693
"13394","ENSMUSG00000040258","Nxph4",1,1.71708798918049,0.520931762036554,0.577326495122488
"13395","ENSMUSG00000074063","Osgin1",1,2.41436062134718,0.521160134870039,0.577536471967963
"13396","ENSMUSG00000036955","Kifbp",2,5.04038440580643,0.52132093093027,0.577667904645277
"13397","ENSMUSG00000030731","Syt3",1,1.34953139508488,0.521395485478134,0.577667904645277
"13398","ENSMUSG00000023827","Agpat4",1,4.57629495865762,0.521359307910855,0.577667904645277
"13399","ENSMUSG00000055926","Gm14137",2,4.96577584673985,0.521777224692758,0.578047699331241
"13400","ENSMUSG00000021262","Evl",5,10.5704015460746,0.522079987931145,0.578339950809695
"13401","ENSMUSG00000044252","Osbpl1a",6,17.2233317714386,0.522409604308462,0.578661903317276
"13402","ENSMUSG00000022449","Adamts20",1,2.353606985669,0.522450213792304,0.578663704934559
"13403","ENSMUSG00000003779","Kif20a",2,5.4320171556602,0.522813800316487,0.579023207632465
"13404","ENSMUSG00000033900","Map9",1,2.09346132208868,0.523054303659775,0.579246350606214
"13405","ENSMUSG00000049112","Oxtr",1,2.32940190848894,0.523666590448802,0.579881153944201
"13406","ENSMUSG00000040594","Ranbp17",1,2.04224570029273,0.523721400554346,0.579898587932919
"13407","ENSMUSG00000092417","Gpank1",2,5.61491455002557,0.523901795150243,0.580055064310451
"13408","ENSMUSG00000032625","Thsd7a",1,3.30875370590077,0.524165878369055,0.580304169041636
"13409","ENSMUSG00000030786","Itgam",1,3.7487470158666,0.524560723329265,0.580654688821746
"13410","ENSMUSG00000118665","Lin54",2,6.33784365019419,0.524522616402007,0.580654688821746
"13411","ENSMUSG00000038522","Mfsd4b1",1,1.5833093312629,0.524797310307244,0.580873258832356
"13412","ENSMUSG00000045312","Lhfpl2",2,3.66940177322707,0.525007739759308,0.581062845883326
"13413","ENSMUSG00000031392","Irak1",2,7.42307433863618,0.525150788581876,0.581177835361915
"13414","ENSMUSG00000061371","Zfp873",2,3.95600926988494,0.525294660864429,0.581293718940778
"13415","ENSMUSG00000034919","Ttc22",1,2.88918313369619,0.525393821763488,0.581316777747259
